title,rating,year_of_release,director,actors,runtime,url
All Quiet on the Western Front,8.1,1930,Lewis Milestone,Lew Ayres; Louis Wolheim; John Wray; Arnold Lucy,152,/title/tt0020629/?ref_=adv_li_tt
Der blaue Engel,7.7,1930,Josef von Sternberg,Emil Jannings; Marlene Dietrich; Kurt Gerron; Rosa Valetti,104,/title/tt0020697/?ref_=adv_li_tt
Animal Crackers,7.4,1930,Victor Heerman,Groucho Marx; Harpo Marx; Chico Marx; The Marx Brothers,97,/title/tt0020640/?ref_=adv_li_tt
Hell's Angels,7.3,1930,"Howard Hughes, Edmund Goulding, James Whale",Ben Lyon; James Hall; Jean Harlow; John Darrow,127,/title/tt0020960/?ref_=adv_li_tt
Zemlya,7.2,1930,Aleksandr Dovzhenko,Stepan Shkurat; Semyon Svashenko; Yuliya Solntseva; Yelena Maksimova,75,/title/tt0021571/?ref_=adv_li_tt
City Lights,8.5,1931,Charles Chaplin,Charles Chaplin; Virginia Cherrill; Florence Lee; Harry Myers,87,/title/tt0021749/?ref_=adv_li_tt
M - Eine Stadt sucht einen Mörder,8.3,1931,Fritz Lang,Peter Lorre; Ellen Widmann; Inge Landgut; Otto Wernicke,117,/title/tt0022100/?ref_=adv_li_tt
Frankenstein,7.8,1931,James Whale,Colin Clive; Mae Clarke; Boris Karloff; John Boles,70,/title/tt0021884/?ref_=adv_li_tt
The Public Enemy,7.6,1931,William A. Wellman,James Cagney; Jean Harlow; Edward Woods; Joan Blondell,83,/title/tt0022286/?ref_=adv_li_tt
Dr. Jekyll and Mr. Hyde,7.6,1931,Rouben Mamoulian,Fredric March; Miriam Hopkins; Rose Hobart; Holmes Herbert,98,/title/tt0022835/?ref_=adv_li_tt
Ik ben een vluchteling,8.2,1932,Mervyn LeRoy,Paul Muni; Glenda Farrell; Helen Vinson; Noel Francis,92,/title/tt0023042/?ref_=adv_li_tt
Trouble in Paradise (De firma Adam & Eva),8.0,1932,Ernst Lubitsch,Miriam Hopkins; Kay Francis; Herbert Marshall; Charles Ruggles,83,/title/tt0023622/?ref_=adv_li_tt
Otona no miru ehon - Umarete wa mita keredo,7.9,1932,Yasujirô Ozu,Tatsuo Saitô; Tomio Aoki; Mitsuko Yoshikawa; Hideo Sugawara,100,/title/tt0023634/?ref_=adv_li_tt
Freaks,7.8,1932,Tod Browning,Wallace Ford; Leila Hyams; Olga Baclanova; Roscoe Ates,64,/title/tt0022913/?ref_=adv_li_tt
Scarface,7.7,1932,"Howard Hawks, Richard Rosson",Paul Muni; Ann Dvorak; Karen Morley; Osgood Perkins,93,/title/tt0023427/?ref_=adv_li_tt
